"","month","loan_rate"
"1",2003-01-01,5.39
"2",2003-02-01,5.18
"3",2003-03-01,5.07
"4",2003-04-01,5.04
"5",2003-05-01,4.97
"6",2003-06-01,4.82
"7",2003-07-01,4.69
"8",2003-08-01,4.79
"9",2003-09-01,4.9
"10",2003-10-01,4.9
"11",2003-11-01,5
"12",2003-12-01,5.06
"13",2004-01-01,5.02
"14",2004-02-01,4.95
"15",2004-03-01,4.85
"16",2004-04-01,4.76
"17",2004-05-01,4.8
"18",2004-06-01,4.83
"19",2004-07-01,4.84
"20",2004-08-01,4.88
"21",2004-09-01,4.87
"22",2004-10-01,4.78
"23",2004-11-01,4.72
"24",2004-12-01,4.61
"25",2005-01-01,4.55
"26",2005-02-01,4.49
"27",2005-03-01,4.49
"28",2005-04-01,4.5
"29",2005-05-01,4.4
"30",2005-06-01,4.27
"31",2005-07-01,4.22
"32",2005-08-01,4.19
"33",2005-09-01,4.18
"34",2005-10-01,4.19
"35",2005-11-01,4.25
"36",2005-12-01,4.34
"37",2006-01-01,4.41
"38",2006-02-01,4.4
"39",2006-03-01,4.5
"40",2006-04-01,4.6
"41",2006-05-01,4.68
"42",2006-06-01,4.75
"43",2006-07-01,4.83
"44",2006-08-01,4.87
"45",2006-09-01,4.84
"46",2006-10-01,4.81
"47",2006-11-01,4.82
"48",2006-12-01,4.8
"49",2007-01-01,4.85
"50",2007-02-01,4.96
"51",2007-03-01,4.95
"52",2007-04-01,4.99
"53",2007-05-01,5.04
"54",2007-06-01,5.19
"55",2007-07-01,5.33
"56",2007-08-01,5.37
"57",2007-09-01,5.31
"58",2007-10-01,5.29
"59",2007-11-01,5.27
"60",2007-12-01,5.28
"61",2008-01-01,5.28
"62",2008-02-01,5.15
"63",2008-03-01,5.09
"64",2008-04-01,5.13
"65",2008-05-01,5.19
"66",2008-06-01,5.3
"67",2008-07-01,5.47
"68",2008-08-01,5.54
"69",2008-09-01,5.45
"70",2008-10-01,5.42
"71",2008-11-01,5.27
"72",2008-12-01,4.96
"73",2009-01-01,4.83
"74",2009-02-01,4.58
"75",2009-03-01,4.42
"76",2009-04-01,4.34
"77",2009-05-01,4.29
"78",2009-06-01,4.31
"79",2009-07-01,4.31
"80",2009-08-01,4.28
"81",2009-09-01,4.22
"82",2009-10-01,4.17
"83",2009-11-01,4.14
"84",2009-12-01,4.13
"85",2010-01-01,4.08
"86",2010-02-01,4.06
"87",2010-03-01,3.96
"88",2010-04-01,3.97
"89",2010-05-01,3.89
"90",2010-06-01,3.77
"91",2010-07-01,3.63
"92",2010-08-01,3.7
"93",2010-09-01,3.59
"94",2010-10-01,3.55
"95",2010-11-01,3.62
"96",2010-12-01,3.73
"97",2011-01-01,3.75
"98",2011-02-01,3.95
"99",2011-03-01,4.04
"100",2011-04-01,4.13
"101",2011-05-01,4.21
"102",2011-06-01,4.17
"103",2011-07-01,4.08
"104",2011-08-01,4.04
"105",2011-09-01,3.84
"106",2011-10-01,3.65
"107",2011-11-01,3.62
"108",2011-12-01,3.57
"109",2012-01-01,3.54
"110",2012-02-01,3.49
"111",2012-03-01,3.35
"112",2012-04-01,3.39
"113",2012-05-01,3.26
"114",2012-06-01,3.12
"115",2012-07-01,3.06
"116",2012-08-01,2.98
"117",2012-09-01,2.93
"118",2012-10-01,2.89
"119",2012-11-01,2.87
"120",2012-12-01,2.88
"121",2013-01-01,2.8
"122",2013-02-01,2.82
"123",2013-03-01,2.83
"124",2013-04-01,2.83
"125",2013-05-01,2.74
"126",2013-06-01,2.67
"127",2013-07-01,2.72
"128",2013-08-01,2.82
"129",2013-09-01,2.88
"130",2013-10-01,2.9
"131",2013-11-01,2.93
"132",2013-12-01,2.85
"133",2014-01-01,2.87
"134",2014-02-01,2.88
"135",2014-03-01,2.76
"136",2014-04-01,2.77
"137",2014-05-01,2.67
"138",2014-06-01,2.59
"139",2014-07-01,2.5
"140",2014-08-01,2.46
"141",2014-09-01,2.34
"142",2014-10-01,2.28
"143",2014-11-01,2.2
"144",2014-12-01,2.17
"145",2015-01-01,2.15
"146",2015-02-01,2.01
"147",2015-03-01,1.92
"148",2015-04-01,1.91
"149",2015-05-01,1.81
"150",2015-06-01,1.89
"151",2015-07-01,2.04
"152",2015-08-01,2.09
"153",2015-09-01,2.07
"154",2015-10-01,2.07
"155",2015-11-01,2.04
"156",2015-12-01,1.98
"157",2016-01-01,2
"158",2016-02-01,1.97
"159",2016-03-01,1.85
"160",2016-04-01,1.93
"161",2016-05-01,1.86
"162",2016-06-01,1.82
"163",2016-07-01,1.78
"164",2016-08-01,1.74
"165",2016-09-01,1.7
"166",2016-10-01,1.68
"167",2016-11-01,1.67
"168",2016-12-01,1.72
"169",2017-01-01,1.82
"170",2017-02-01,1.87
"171",2017-03-01,1.87
"172",2017-04-01,1.91
"173",2017-05-01,1.88
"174",2017-06-01,1.87
"175",2017-07-01,1.88
"176",2017-08-01,1.94
"177",2017-09-01,1.92
"178",2017-10-01,1.9
"179",2017-11-01,1.9
"180",2017-12-01,1.86
"181",2018-01-01,1.88
"182",2018-02-01,1.9
"183",2018-03-01,1.94
"184",2018-04-01,1.94
"185",2018-05-01,1.96
"186",2018-06-01,1.95
"187",2018-07-01,1.94
"188",2018-08-01,1.93
"189",2018-09-01,1.92
"190",2018-10-01,1.91
"191",2018-11-01,1.94
"192",2018-12-01,1.9
"193",2019-01-01,1.92
"194",2019-02-01,1.84
"195",2019-03-01,1.8
