month,loan_rate,mro_rate
2003-01-01,5.39,2.75
2003-02-01,5.18,2.75
2003-03-01,5.07,2.5
2003-04-01,5.04,2.5
2003-05-01,4.97,2.5
2003-06-01,4.82,2
2003-07-01,4.69,2
2003-08-01,4.79,2
2003-09-01,4.9,2
2003-10-01,4.9,2
2003-11-01,5,2
2003-12-01,5.06,2
2004-01-01,5.02,2
2004-02-01,4.95,2
2004-03-01,4.85,2
2004-04-01,4.76,2
2004-05-01,4.8,2
2004-06-01,4.83,2
2004-07-01,4.84,2
2004-08-01,4.88,2
2004-09-01,4.87,2
2004-10-01,4.78,2
2004-11-01,4.72,2
2004-12-01,4.61,2
2005-01-01,4.55,2
2005-02-01,4.49,2
2005-03-01,4.49,2
2005-04-01,4.5,2
2005-05-01,4.4,2
2005-06-01,4.27,2
2005-07-01,4.22,2
2005-08-01,4.19,2
2005-09-01,4.18,2
2005-10-01,4.19,2
2005-11-01,4.25,2
2005-12-01,4.34,2.25
2006-01-01,4.41,2.25
2006-02-01,4.4,2.25
2006-03-01,4.5,2.5
2006-04-01,4.6,2.5
2006-05-01,4.68,2.5
2006-06-01,4.75,2.75
2006-07-01,4.83,2.75
2006-08-01,4.87,3
2006-09-01,4.84,3
2006-10-01,4.81,3.25
2006-11-01,4.82,3.25
2006-12-01,4.8,3.5
2007-01-01,4.85,3.5
2007-02-01,4.96,3.5
2007-03-01,4.95,3.75
2007-04-01,4.99,3.75
2007-05-01,5.04,3.75
2007-06-01,5.19,4
2007-07-01,5.33,4
2007-08-01,5.37,4
2007-09-01,5.31,4
2007-10-01,5.29,4
2007-11-01,5.27,4
2007-12-01,5.28,4
2008-01-01,5.28,4
2008-02-01,5.15,4
2008-03-01,5.09,4
2008-04-01,5.13,4
2008-05-01,5.19,4
2008-06-01,5.3,4
2008-07-01,5.47,4.25
2008-08-01,5.54,4.25
2008-09-01,5.45,4.25
2008-10-01,5.42,3.75
2008-11-01,5.27,3.25
2008-12-01,4.96,2.5
2009-01-01,4.83,2
2009-02-01,4.58,2
2009-03-01,4.42,1.5
2009-04-01,4.34,1.25
2009-05-01,4.29,1
2009-06-01,4.31,1
2009-07-01,4.31,1
2009-08-01,4.28,1
2009-09-01,4.22,1
2009-10-01,4.17,1
2009-11-01,4.14,1
2009-12-01,4.13,1
2010-01-01,4.08,1
2010-02-01,4.06,1
2010-03-01,3.96,1
2010-04-01,3.97,1
2010-05-01,3.89,1
2010-06-01,3.77,1
2010-07-01,3.63,1
2010-08-01,3.7,1
2010-09-01,3.59,1
2010-10-01,3.55,1
2010-11-01,3.62,1
2010-12-01,3.73,1
2011-01-01,3.75,1
2011-02-01,3.95,1
2011-03-01,4.04,1
2011-04-01,4.13,1.25
