"","month","mro_rate"
"1",2003-01-01,2.75
"2",2003-02-01,2.75
"3",2003-03-01,2.5
"4",2003-04-01,2.5
"5",2003-05-01,2.5
"6",2003-06-01,2
"7",2003-07-01,2
"8",2003-08-01,2
"9",2003-09-01,2
"10",2003-10-01,2
"11",2003-11-01,2
"12",2003-12-01,2
"13",2004-01-01,2
"14",2004-02-01,2
"15",2004-03-01,2
"16",2004-04-01,2
"17",2004-05-01,2
"18",2004-06-01,2
"19",2004-07-01,2
"20",2004-08-01,2
"21",2004-09-01,2
"22",2004-10-01,2
"23",2004-11-01,2
"24",2004-12-01,2
"25",2005-01-01,2
"26",2005-02-01,2
"27",2005-03-01,2
"28",2005-04-01,2
"29",2005-05-01,2
"30",2005-06-01,2
"31",2005-07-01,2
"32",2005-08-01,2
"33",2005-09-01,2
"34",2005-10-01,2
"35",2005-11-01,2
"36",2005-12-01,2.25
"37",2006-01-01,2.25
"38",2006-02-01,2.25
"39",2006-03-01,2.5
"40",2006-04-01,2.5
"41",2006-05-01,2.5
"42",2006-06-01,2.75
"43",2006-07-01,2.75
"44",2006-08-01,3
"45",2006-09-01,3
"46",2006-10-01,3.25
"47",2006-11-01,3.25
"48",2006-12-01,3.5
"49",2007-01-01,3.5
"50",2007-02-01,3.5
"51",2007-03-01,3.75
"52",2007-04-01,3.75
"53",2007-05-01,3.75
"54",2007-06-01,4
"55",2007-07-01,4
"56",2007-08-01,4
"57",2007-09-01,4
"58",2007-10-01,4
"59",2007-11-01,4
"60",2007-12-01,4
"61",2008-01-01,4
"62",2008-02-01,4
"63",2008-03-01,4
"64",2008-04-01,4
"65",2008-05-01,4
"66",2008-06-01,4
"67",2008-07-01,4.25
"68",2008-08-01,4.25
"69",2008-09-01,4.25
"70",2008-10-01,3.75
"71",2008-11-01,3.25
"72",2008-12-01,2.5
"73",2009-01-01,2
"74",2009-02-01,2
"75",2009-03-01,1.5
"76",2009-04-01,1.25
"77",2009-05-01,1
"78",2009-06-01,1
"79",2009-07-01,1
"80",2009-08-01,1
"81",2009-09-01,1
"82",2009-10-01,1
"83",2009-11-01,1
"84",2009-12-01,1
"85",2010-01-01,1
"86",2010-02-01,1
"87",2010-03-01,1
"88",2010-04-01,1
"89",2010-05-01,1
"90",2010-06-01,1
"91",2010-07-01,1
"92",2010-08-01,1
"93",2010-09-01,1
"94",2010-10-01,1
"95",2010-11-01,1
"96",2010-12-01,1
"97",2011-01-01,1
"98",2011-02-01,1
"99",2011-03-01,1
"100",2011-04-01,1.25
"101",2011-05-01,1.25
"102",2011-06-01,1.25
"103",2011-07-01,1.5
"104",2011-08-01,1.5
"105",2011-09-01,1.5
"106",2011-10-01,1.5
"107",2011-11-01,1.25
"108",2011-12-01,1
"109",2012-01-01,1
"110",2012-02-01,1
"111",2012-03-01,1
"112",2012-04-01,1
"113",2012-05-01,1
"114",2012-06-01,1
"115",2012-07-01,0.75
"116",2012-08-01,0.75
